Cereal Name,Manufacturer,Type,Calories,Protein (g),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
100% Bran,Nabisco,C,70,4,1,130,10,5,6,3,280,25,1,0.33
100% Natural Bran,Quaker Oats,C,120,3,5,15,2,8,8,3,135,0,1,0
All-Bran,Kelloggs,C,70,4,1,260,9,7,5,3,320,25,1,0.33
All-Bran with Extra Fiber,Kelloggs,C,50,4,0,140,14,8,0,3,330,25,1,0.5
Almond Delight,Ralston Purina,C,110,2,2,200,1,14,8,3,0,25,1,0.75
Apple Cinnamon Cheerios,General Mills,C,110,2,2,180,1.5,10.5,10,1,70,25,1,0.75
Apple Jacks,Kelloggs,C,110,2,0,125,1,11,14,2,30,25,1,1
Basic 4,General Mills,C,130,3,2,210,2,18,8,3,100,25,1.33,0.75
Bran Chex,Ralston Purina,C,90,2,1,200,4,15,6,1,125,25,1,0.67
Bran Flakes,Post,C,90,3,0,210,5,13,5,3,190,25,1,0.67
Cap'n'Crunch,Quaker Oats,C,120,1,2,220,0,12,12,2,35,25,1,0.75
Cheerios,General Mills,C,110,6,2,290,2,17,1,1,105,25,1,1.25
Cinnamon Toast Crunch,General Mills,C,120,1,3,210,0,13,9,2,45,25,1,0.75
Clusters,General Mills,C,110,3,2,140,2,13,7,3,105,25,1,0.5
Cocoa Puffs,General Mills,C,110,1,1,180,0,12,13,2,55,25,1,1
Corn Chex,Ralston Purina,C,110,2,0,280,0,22,3,1,25,25,1,1
Corn Flakes,Kelloggs,C,100,2,0,290,1,21,2,1,35,25,1,1
Corn Pops,Kelloggs,C,110,1,0,90,1,13,12,2,20,25,1,1
Count Chocula,General Mills,C,110,1,1,180,0,12,13,2,65,25,1,1
Cracklin' Oat Bran,Kelloggs,C,110,3,3,140,4,10,7,3,160,25,1,0.5
Cream of Wheat (Quick),Nabisco,H,100,3,0,80,1,21,0,2,0,0,1,1
Crispix,Kelloggs,C,110,2,0,220,1,21,3,3,30,25,1,1
Crispy Wheat & Raisins,General Mills,C,100,2,1,140,2,11,10,3,120,25,1,0.75
Double Chex,Ralston Purina,C,100,2,0,190,1,18,5,3,80,25,1,0.75
Froot Loops,Kelloggs,C,110,2,1,125,1,11,13,2,30,25,1,1
Frosted Flakes,Kelloggs,C,110,1,0,200,1,14,11,1,25,25,1,0.75
Frosted Mini-Wheats,Kelloggs,C,100,3,0,0,3,14,7,2,100,25,1,0.8
Fruitful Bran,Kelloggs,C,120,3,0,240,5,14,12,3,190,25,1.33,0.67
Fruity Pebbles,Post,C,110,1,1,135,0,13,12,2,25,25,1,0.75
Golden Crisp,Post,C,100,2,0,45,0,11,15,1,40,25,1,0.88
Golden Grahams,General Mills,C,110,1,1,280,0,15,9,2,45,25,1,0.75
Grape Nuts Flakes,Post,C,100,3,1,140,3,15,5,3,85,25,1,0.88
Grape-Nuts,Post,C,110,3,0,170,3,17,3,3,90,25,1,0.25
Great Grains Pecan,Post,C,120,3,3,75,3,13,4,3,100,25,1,0.33
Honey Graham Ohs,Quaker Oats,C,120,1,2,220,1,12,11,2,45,25,1,1
Honey Nut Cheerios,General Mills,C,110,3,1,250,1.5,11.5,10,1,90,25,1,0.75
Honey-comb,Post,C,110,1,0,180,0,14,11,1,35,25,1,1.33
